Sector_ID,Latitude,Longitude,Azimuth,TA,Target,Popu_Type,Datetime,Province,Vendor,Total_Payload_GB,Total_DL_Payload(GB),UserThroughput,DL_Spectral_efficiency,Average_Reported_CQI,DL_PRB_UTILIZATION,Sector_Bandwidth(MHz),cell_availability_include_manual_blocking,ConnectedUser,PPM,UPM,Day,Hour,Label,OS
TH1226C,35.670029,51.372074,200,0.771195652173913,1,Residential,2022-12-12 23:00:00,TH,Ericsson,16.232,14.906,11.529,2.897,8.162,33.892,75.0,100.0,132.539,0.19874666666666668,1.7671866666666665,Monday,23.0,City Capacity,0.0
TH1226A,35.670029,51.372074,5,0.8106953290870488,1,Residential,2022-12-12 23:00:00,TH,Ericsson,21.814,19.591,8.709,2.063,8.038,62.542,75.0,100.0,190.8945,0.26121333333333335,2.54526,Monday,23.0,City Capacity,0.0
TH1228A,35.664835,51.365715,120,0.835297137335427,1,Residential,2022-12-10 23:00:00,TH,Ericsson,36.602,32.932,4.428,1.216,7.929,89.17,75.0,100.0,333.975,0.43909333333333334,4.453,Saturday,23.0,City Capacity,0.0
TH1231C,35.68195,51.46501,300,0.5174532268236284,1,Residential,2022-12-10 23:00:00,TH,Ericsson,33.555,30.84,14.672,1.68,9.086,60.439,75.0,100.0,253.66525,0.4112,3.382203333333333,Saturday,23.0,City Capacity,0.0
TH1233B,35.67023,51.44007,145,0.7725247524752475,1,Residential,2022-12-11 23:00:00,TH,Ericsson,21.752,19.882,17.672,1.5,8.952,43.657,75.0,100.0,194.17925,0.26509333333333335,2.5890566666666666,Sunday,23.0,City Capacity,0.0
TH1234C,35.66705,51.45506,300,0.7616130929047432,1,Residential,2022-12-12 23:00:00,TH,Ericsson,21.018,19.02,14.392,2.59,8.38,48.37,75.0,100.0,159.5665,0.2536,2.127553333333333,Monday,23.0,City Capacity,0.0
TH1234B,35.66705,51.45506,175,0.8089302544769086,1,Residential,2022-12-12 23:00:00,TH,Ericsson,22.173,20.427,10.61,2.568,8.308,52.387,75.0,100.0,188.2915,0.27236,2.5105533333333336,Monday,23.0,City Capacity,0.0
TH1234A,35.66705,51.45506,55,0.8201327433628319,1,Residential,2022-12-14 23:00:00,TH,Ericsson,18.295,16.689,10.546,1.224,8.12,44.917,75.0,100.0,167.85575,0.22252,2.2380766666666667,Wednesday,23.0,City Capacity,0.0
TH1235B,35.67286111,51.36368611,210,0.6448779193205945,1,Residential,2022-12-12 23:00:00,TH,Ericsson,18.848,16.654,12.211,2.658,8.82,41.258,75.0,100.0,169.889,0.22205333333333332,2.2651866666666667,Monday,23.0,City Capacity,0.0
TH1235C,35.67286111,51.36368611,330,0.6988372093023256,1,Residential,2022-12-14 23:00:00,TH,Ericsson,18.988,17.6,14.705,1.309,8.44,44.271,75.0,100.0,122.62175,0.2346666666666667,1.6349566666666668,Wednesday,23.0,City Capacity,0.0
